N,P,K,temperature,humidity,rainfall,ph,soil_type,month,season,label
76,136,61,15.04,43.98,213.52,4.72,loamy,7,kharif,rice
123,55,35,10.45,91.94,102.73,8.38,loamy,1,rabi,wheat
136,80,65,38.8,53.48,7.72,6.21,sandy,4,zaid,maize
13,80,140,11.51,31.79,36.58,7.38,sandy,12,rabi,wheat
55,109,113,17.13,86.75,240.5,6.14,sandy,12,rabi,wheat
62,33,165,30.18,73.29,198.46,4.7,sandy,7,kharif,maize
37,140,86,14.2,35.55,59.32,5.55,loamy,9,kharif,maize
28,124,72,33.95,69.8,96.85,8.26,clay,7,kharif,cotton
66,115,149,19.79,60.45,281.55,5.21,sandy,12,rabi,maize
111,111,187,18.58,31.89,134.3,7.36,sandy,10,rabi,wheat
138,120,7,37.9,63.77,271.52,8.31,loamy,4,zaid,maize
84,49,118,21.73,71.6,142.73,5.49,sandy,4,zaid,maize
64,140,111,31.12,75.97,127.67,6.33,loamy,3,zaid,maize
93,103,182,15.73,82.74,24.88,5.14,loamy,4,zaid,rice
78,27,127,12.65,47.23,120.59,5.81,sandy,1,rabi,wheat
134,65,181,39.0,48.24,289.95,7.11,clay,4,zaid,maize
114,37,169,34.44,63.63,52.79,7.43,clay,3,zaid,maize
43,136,54,37.76,47.38,103.87,8.2,loamy,7,kharif,maize
51,62,110,17.71,45.88,274.58,5.31,clay,10,rabi,wheat
129,5,133,14.94,48.12,143.48,4.91,loamy,6,kharif,cotton
30,49,70,28.08,80.23,38.86,7.31,clay,10,rabi,wheat
82,50,143,19.37,69.88,84.12,6.69,sandy,8,kharif,maize
42,39,105,32.64,86.26,254.67,6.39,sandy,2,rabi,rice
14,125,105,31.19,70.5,4.26,7.08,sandy,8,kharif,maize
59,82,180,22.87,71.26,245.43,7.4,clay,6,kharif,maize
59,15,77,10.08,56.78,191.49,6.76,loamy,11,rabi,wheat
102,112,190,37.96,86.64,114.68,8.43,sandy,10,rabi,wheat
116,137,183,29.2,47.51,77.73,5.17,sandy,6,kharif,cotton
110,71,147,17.97,58.97,135.28,7.57,sandy,3,zaid,maize
51,55,141,36.24,67.57,95.02,7.41,sandy,5,zaid,maize
111,99,84,26.04,81.5,185.67,4.77,sandy,8,kharif,rice
41,29,109,33.12,65.97,38.62,7.76,clay,8,kharif,cotton
78,32,125,25.58,40.04,117.71,5.76,loamy,8,kharif,maize
27,89,14,17.52,81.46,73.15,4.62,loamy,12,rabi,wheat
41,5,29,31.11,65.69,250.18,8.11,clay,3,zaid,maize
79,25,45,17.4,58.13,44.77,6.05,clay,1,rabi,wheat
83,53,201,18.9,44.1,294.68,6.49,clay,12,rabi,wheat
82,35,154,29.05,74.11,195.72,5.14,clay,7,kharif,rice
73,112,178,37.67,36.18,113.46,7.88,clay,12,rabi,wheat
120,124,201,17.48,49.81,10.99,5.77,loamy,2,rabi,wheat
87,86,195,29.79,71.35,233.39,6.1,clay,5,zaid,maize
86,73,36,21.27,43.96,275.27,6.25,sandy,6,kharif,maize
96,61,158,10.03,47.1,122.47,7.5,sandy,7,kharif,maize
106,46,27,21.01,85.2,9.46,5.73,clay,4,zaid,rice
117,18,73,10.79,30.06,169.38,6.11,loamy,10,rabi,wheat
132,111,85,20.99,89.34,93.94,8.39,loamy,9,kharif,cotton
103,97,23,38.12,83.74,106.65,7.19,clay,10,rabi,wheat
18,53,35,32.45,30.09,266.2,8.07,clay,7,kharif,rice
72,133,135,35.57,68.63,47.22,5.76,loamy,4,zaid,maize
120,108,142,21.37,94.22,122.93,7.27,clay,4,zaid,maize
84,79,14,22.26,88.75,138.51,7.29,clay,12,rabi,wheat
139,37,90,19.82,69.33,62.87,6.95,sandy,3,zaid,maize
36,96,114,25.65,45.37,148.74,5.84,sandy,7,kharif,maize
120,140,75,29.63,52.03,192.95,5.03,loamy,3,zaid,rice
80,40,147,31.63,41.51,88.28,8.34,sandy,3,zaid,maize
95,76,65,25.44,65.18,112.19,6.78,loamy,6,kharif,maize
133,112,183,26.77,81.1,43.33,5.04,sandy,10,rabi,rice
101,7,167,28.67,68.93,262.43,5.33,loamy,8,kharif,rice
32,131,159,25.99,77.51,140.22,6.46,clay,3,zaid,maize
73,32,46,19.6,34.69,224.36,7.87,sandy,2,rabi,wheat
44,97,200,18.34,71.56,92.9,7.1,sandy,3,zaid,maize
87,30,120,14.84,48.54,126.47,5.37,clay,9,kharif,maize
87,65,20,32.11,87.75,242.26,7.46,loamy,12,rabi,rice
13,39,76,18.16,38.03,161.49,5.21,loamy,5,zaid,maize
36,20,101,27.8,48.8,291.71,4.63,loamy,6,kharif,rice
55,142,43,36.73,91.77,248.2,6.65,clay,9,kharif,rice
99,89,152,10.13,56.98,279.33,7.55,clay,4,zaid,maize
30,93,201,39.04,46.02,258.5,7.11,loamy,6,kharif,cotton
69,106,95,33.88,75.61,199.74,8.48,sandy,7,kharif,maize
111,84,87,20.23,51.72,185.18,7.3,clay,4,zaid,maize
97,46,148,22.61,78.6,165.79,4.6,clay,6,kharif,rice
120,9,164,25.25,81.8,269.88,8.24,clay,8,kharif,rice
42,42,59,39.62,53.87,3.79,4.62,sandy,1,rabi,wheat
99,135,114,29.98,72.06,137.38,8.08,clay,1,rabi,maize
12,27,167,29.51,65.13,201.09,7.79,loamy,8,kharif,cotton
135,44,54,15.76,83.2,196.09,6.11,loamy,11,rabi,rice
73,111,119,35.91,34.87,63.3,6.83,sandy,3,zaid,maize
105,68,199,10.16,54.0,277.42,7.44,loamy,6,kharif,cotton
14,75,51,19.87,66.77,244.87,8.3,loamy,12,rabi,maize
81,76,41,21.99,65.02,173.05,7.95,loamy,8,kharif,maize
35,115,16,37.7,85.36,228.16,5.81,sandy,3,zaid,maize
39,6,106,24.2,70.45,86.86,6.56,loamy,10,rabi,wheat
125,49,172,15.42,31.58,257.48,7.49,sandy,11,rabi,wheat
99,54,148,23.54,93.12,239.36,5.78,sandy,9,kharif,rice
20,20,27,12.92,36.68,269.27,5.32,clay,8,kharif,rice
33,127,202,16.14,55.88,62.25,4.8,loamy,3,zaid,maize
113,48,191,38.56,39.11,12.94,6.6,clay,2,rabi,wheat
15,109,144,12.07,62.88,140.64,7.18,loamy,9,kharif,maize
124,19,35,25.81,66.34,72.05,8.02,loamy,5,zaid,maize
90,108,104,11.48,69.46,74.41,8.1,clay,8,kharif,cotton
29,18,89,37.87,69.93,252.18,7.94,sandy,9,kharif,cotton
116,101,145,26.73,35.19,160.55,7.13,loamy,5,zaid,maize
56,123,73,12.58,33.7,118.72,5.8,sandy,12,rabi,wheat
101,118,75,34.09,87.93,119.9,5.12,loamy,4,zaid,rice
70,100,48,27.88,35.24,280.63,6.2,loamy,1,rabi,wheat
27,123,28,12.49,88.34,234.23,7.61,clay,11,rabi,wheat
29,14,92,16.09,32.55,228.55,6.2,sandy,11,rabi,wheat
83,32,171,36.71,84.67,33.8,7.7,clay,1,rabi,wheat
39,58,185,30.62,44.22,235.08,5.78,loamy,2,rabi,rice
117,58,78,21.67,82.28,115.85,7.47,sandy,10,rabi,cotton
36,26,89,29.65,61.57,60.13,6.85,clay,4,zaid,maize
29,143,183,11.48,92.18,205.77,5.7,clay,8,kharif,rice
83,117,167,12.1,40.39,42.61,5.15,sandy,5,zaid,maize
82,10,114,33.05,50.83,122.29,7.98,loamy,9,kharif,maize
62,105,138,26.12,54.59,34.83,7.47,loamy,9,kharif,maize
84,38,137,23.93,33.35,276.22,6.72,sandy,9,kharif,rice
138,125,185,32.07,68.95,59.54,5.9,sandy,4,zaid,maize
132,99,5,28.09,33.13,69.08,4.89,clay,6,kharif,cotton
27,143,196,26.65,82.24,98.93,6.08,loamy,6,kharif,rice
74,132,88,35.13,67.93,24.05,8.41,clay,12,rabi,wheat
42,143,21,38.92,40.22,132.36,8.22,sandy,10,rabi,wheat
120,39,26,32.6,79.87,278.99,8.08,loamy,11,rabi,rice
134,72,87,33.13,43.22,218.94,5.16,loamy,6,kharif,rice
62,139,69,15.68,86.48,49.04,4.74,clay,12,rabi,wheat
138,42,191,15.39,56.86,106.41,5.7,sandy,4,zaid,maize
133,33,199,21.45,79.7,256.17,8.04,sandy,1,rabi,maize
112,15,36,26.27,91.82,241.39,7.51,clay,5,zaid,rice
16,47,40,39.29,30.59,239.1,6.8,sandy,12,rabi,wheat
42,114,20,32.93,70.74,187.75,5.24,clay,3,zaid,rice
67,137,64,15.83,63.7,207.68,5.95,clay,1,rabi,maize
50,68,82,13.04,69.12,99.15,7.39,sandy,3,zaid,maize
121,141,155,25.31,50.02,198.3,8.39,clay,1,rabi,wheat
78,28,173,32.42,55.25,247.68,5.31,clay,4,zaid,maize
139,56,147,13.54,47.2,264.95,6.97,clay,5,zaid,cotton
12,65,33,36.48,72.36,145.09,6.45,sandy,3,zaid,maize
48,14,22,36.28,47.81,8.03,6.8,loamy,4,zaid,maize
118,71,190,37.74,52.91,36.52,6.92,clay,3,zaid,maize
80,48,142,13.28,34.09,175.91,4.86,loamy,5,zaid,maize
135,137,66,29.45,79.76,216.26,7.34,sandy,10,rabi,maize
28,73,142,37.72,74.0,154.68,7.5,sandy,9,kharif,maize
89,35,86,20.2,77.55,238.39,5.03,loamy,8,kharif,rice
113,60,95,26.69,84.02,226.82,7.94,loamy,6,kharif,rice
122,112,138,19.03,44.79,263.14,5.69,sandy,1,rabi,wheat
55,105,86,30.6,48.19,116.52,5.75,loamy,10,rabi,maize
51,98,200,24.68,38.25,243.38,5.65,loamy,3,zaid,maize
36,47,7,12.2,68.95,98.89,7.65,loamy,8,kharif,cotton
106,16,17,16.14,56.71,53.45,7.27,sandy,9,kharif,maize
98,19,166,18.11,48.49,36.74,6.72,loamy,4,zaid,maize
44,28,180,30.4,69.47,184.78,5.56,sandy,2,rabi,maize
131,73,160,30.35,92.31,189.59,7.3,loamy,8,kharif,rice
49,121,88,39.2,61.49,219.56,6.25,clay,3,zaid,maize
95,39,33,10.49,75.04,21.07,4.62,clay,7,kharif,maize
120,47,137,15.21,66.35,37.76,7.54,sandy,12,rabi,wheat
83,14,115,35.04,62.65,205.05,7.42,clay,2,rabi,wheat
49,61,51,18.12,87.58,102.1,7.66,clay,3,zaid,maize
49,60,155,36.61,37.28,84.49,7.78,loamy,11,rabi,wheat
60,78,94,39.92,33.0,51.0,8.11,loamy,8,kharif,maize
135,97,117,18.42,47.43,216.62,5.86,loamy,5,zaid,maize
51,134,117,36.22,41.0,69.16,5.03,loamy,5,zaid,maize
131,105,11,17.58,64.57,125.58,5.3,sandy,1,rabi,maize
109,95,100,39.9,48.58,17.15,5.18,clay,5,zaid,rice
39,109,31,14.44,60.53,1.02,7.59,sandy,1,rabi,wheat
29,52,62,34.35,78.12,280.19,8.17,clay,5,zaid,maize
102,63,11,36.78,40.89,169.32,6.22,loamy,2,rabi,wheat
67,52,45,13.52,63.57,118.78,7.72,clay,5,zaid,maize
87,96,23,22.15,73.65,116.96,7.18,loamy,9,kharif,maize
78,19,122,16.06,67.64,104.53,6.28,clay,9,kharif,maize
74,62,143,35.72,79.87,298.75,6.32,sandy,9,kharif,maize
59,22,49,22.51,55.88,21.44,6.82,sandy,6,kharif,maize
61,43,131,29.65,40.13,15.35,6.37,sandy,9,kharif,maize
58,105,58,15.83,36.23,139.32,7.21,loamy,12,rabi,wheat
60,40,33,15.01,83.29,10.91,5.72,clay,11,rabi,wheat
16,139,90,34.28,31.86,4.34,7.71,loamy,4,zaid,cotton
25,137,156,12.75,93.64,140.57,7.5,sandy,3,zaid,maize
26,106,162,39.04,54.38,152.01,6.33,loamy,11,rabi,wheat
113,45,62,23.14,43.16,133.98,7.52,loamy,4,zaid,maize
57,48,177,35.67,69.82,110.41,8.23,clay,12,rabi,maize
102,119,59,15.41,88.93,285.22,8.18,clay,4,zaid,rice
128,136,153,19.66,85.23,56.19,7.95,loamy,6,kharif,cotton
30,52,104,28.38,78.57,281.38,4.66,loamy,9,kharif,rice
95,63,61,33.98,52.79,266.22,4.62,clay,1,rabi,wheat
50,53,134,19.36,84.44,253.13,7.17,sandy,12,rabi,wheat
40,132,20,15.33,64.6,238.31,7.97,sandy,4,zaid,maize
135,143,50,14.71,64.31,101.73,7.27,clay,9,kharif,maize
135,53,87,10.04,93.56,268.8,5.36,loamy,5,zaid,rice
125,122,168,33.06,75.86,235.25,6.58,sandy,11,rabi,rice
109,40,154,15.98,63.97,134.51,5.57,sandy,11,rabi,maize
119,130,187,21.39,40.43,277.9,7.59,sandy,4,zaid,cotton
95,135,168,33.74,55.24,294.7,7.54,loamy,9,kharif,cotton
97,38,67,15.19,78.37,147.19,7.66,sandy,5,zaid,maize
17,143,123,11.69,85.88,125.75,5.01,clay,7,kharif,rice
69,24,47,13.43,76.65,153.01,6.49,loamy,2,rabi,wheat
114,90,79,16.27,82.48,32.86,6.1,loamy,4,zaid,wheat
59,34,80,11.41,84.49,276.72,7.57,sandy,10,rabi,wheat
72,135,117,35.53,47.33,34.41,5.52,loamy,10,rabi,wheat
87,109,83,38.77,59.09,90.02,6.64,sandy,6,kharif,maize
118,93,170,38.2,71.41,184.16,5.97,sandy,2,rabi,rice
105,26,190,23.51,85.48,163.78,6.61,clay,9,kharif,rice
36,44,84,34.06,66.89,216.92,7.13,loamy,6,kharif,cotton
116,120,143,28.62,72.78,77.27,5.56,clay,5,zaid,maize
45,64,121,20.67,40.99,7.65,5.61,clay,10,rabi,wheat
19,71,97,24.59,94.77,296.91,7.75,loamy,5,zaid,maize
91,94,129,14.37,61.4,162.7,7.3,sandy,7,kharif,maize
129,126,165,14.74,85.27,111.53,7.11,loamy,10,rabi,wheat
119,76,23,26.78,51.45,243.06,7.9,loamy,12,rabi,cotton
10,130,166,19.85,82.57,74.07,4.83,sandy,10,rabi,wheat
81,118,53,24.56,77.81,75.56,7.15,sandy,6,kharif,maize
17,131,158,25.24,94.02,287.5,7.75,clay,10,rabi,rice
82,29,5,27.27,66.56,103.33,6.13,clay,4,zaid,maize
35,112,184,14.01,54.15,273.5,5.33,clay,12,rabi,wheat
118,32,33,19.64,93.89,95.0,4.76,loamy,1,rabi,wheat
112,19,95,14.54,42.3,275.24,6.55,clay,12,rabi,wheat
95,36,89,36.3,62.53,134.87,6.65,clay,12,rabi,maize
138,77,40,22.19,51.43,142.74,7.5,loamy,4,zaid,maize
128,79,159,30.75,43.28,70.9,4.81,loamy,11,rabi,cotton
56,113,174,38.11,92.63,138.07,5.76,loamy,1,rabi,wheat
38,11,189,21.19,54.75,258.63,5.28,loamy,4,zaid,maize
20,44,136,20.85,65.9,66.16,7.04,loamy,4,zaid,maize
56,7,20,14.13,64.19,148.7,7.69,clay,10,rabi,wheat
94,77,174,25.1,68.33,20.45,5.53,clay,10,rabi,maize
46,137,20,30.97,43.61,111.58,6.86,clay,12,rabi,wheat
42,58,175,17.36,84.54,122.77,4.69,clay,11,rabi,wheat
35,35,165,32.15,62.7,279.31,6.52,clay,4,zaid,maize
109,121,31,28.63,48.6,23.86,8.08,clay,9,kharif,cotton
58,41,71,37.66,43.99,109.47,6.91,sandy,7,kharif,maize
27,139,149,33.01,57.6,152.91,6.44,clay,6,kharif,cotton
125,79,199,31.23,33.58,194.72,8.05,loamy,2,rabi,wheat
138,59,17,23.47,83.07,54.14,8.33,sandy,3,zaid,maize
85,10,5,13.46,87.22,111.09,5.57,loamy,4,zaid,maize
54,46,138,34.48,30.17,62.88,6.37,loamy,1,rabi,wheat
70,111,179,19.3,58.32,130.23,8.22,loamy,10,rabi,wheat
97,55,11,37.57,39.46,23.36,6.06,sandy,12,rabi,wheat
40,79,22,18.41,76.67,47.14,5.84,clay,4,zaid,maize
46,135,99,37.49,91.84,47.37,6.79,loamy,6,kharif,rice
106,99,48,19.34,79.94,111.12,6.54,sandy,12,rabi,wheat
89,28,43,13.29,82.57,40.44,6.74,loamy,8,kharif,rice
76,51,72,27.37,81.95,146.19,8.1,clay,1,rabi,maize
44,75,67,31.18,37.48,94.03,8.33,sandy,11,rabi,wheat
13,111,31,32.49,66.39,59.05,5.62,clay,1,rabi,maize
98,108,170,34.45,38.83,114.23,6.32,sandy,6,kharif,maize
21,17,115,31.08,67.28,286.13,6.42,loamy,9,kharif,rice
91,54,25,14.25,71.48,115.73,6.52,loamy,9,kharif,maize
42,45,97,21.32,57.52,212.25,5.14,sandy,1,rabi,wheat
91,37,117,35.89,60.73,172.32,8.03,clay,7,kharif,rice
33,30,197,37.47,93.61,185.8,6.02,sandy,6,kharif,maize
36,86,42,34.63,64.42,118.16,8.14,sandy,11,rabi,maize
15,47,10,22.4,77.8,78.54,4.52,loamy,11,rabi,wheat
85,83,132,30.31,48.01,180.54,7.55,loamy,7,kharif,rice
55,117,18,20.18,76.99,245.19,4.83,clay,4,zaid,maize
19,112,35,28.51,38.43,150.04,5.97,loamy,6,kharif,rice
133,96,63,32.22,58.29,115.71,7.33,sandy,6,kharif,maize
17,27,83,16.16,68.89,15.09,8.44,clay,9,kharif,maize
134,65,25,23.74,74.62,28.94,5.09,sandy,2,rabi,wheat
90,48,151,24.4,65.24,282.54,4.76,loamy,1,rabi,wheat
25,25,192,33.34,94.14,124.28,6.68,clay,12,rabi,rice
126,19,139,35.4,51.13,297.5,7.61,clay,7,kharif,cotton
39,55,64,26.94,78.08,29.49,4.86,clay,3,zaid,maize
26,47,79,13.42,82.22,53.86,5.36,clay,1,rabi,wheat
55,118,149,21.41,94.49,227.3,5.28,sandy,5,zaid,rice
31,125,44,17.48,74.83,70.49,8.14,sandy,7,kharif,maize
28,64,144,12.79,63.37,103.36,5.89,sandy,10,rabi,maize
135,46,97,12.36,92.59,286.61,7.1,loamy,11,rabi,wheat
31,114,34,31.0,82.0,157.88,7.36,clay,4,zaid,maize
79,6,141,34.94,31.79,186.67,6.55,sandy,1,rabi,wheat
15,65,18,15.51,65.06,265.52,7.29,sandy,1,rabi,wheat
119,99,73,17.45,43.34,89.87,8.24,clay,6,kharif,cotton
52,12,195,25.39,88.63,125.5,4.63,sandy,5,zaid,maize
104,87,107,27.38,45.96,198.14,7.79,loamy,8,kharif,cotton
63,52,21,14.5,40.27,81.22,6.82,clay,5,zaid,maize
125,143,76,17.44,35.0,129.78,7.18,sandy,4,zaid,maize
64,26,196,19.8,42.17,206.32,4.77,sandy,10,rabi,wheat
49,96,125,18.26,59.4,44.75,7.79,clay,7,kharif,cotton
139,48,73,18.55,66.74,162.09,7.87,loamy,2,rabi,wheat
40,6,19,33.8,56.99,179.55,5.57,clay,1,rabi,wheat
138,18,182,23.51,87.88,126.91,7.39,clay,10,rabi,wheat
128,67,45,25.02,86.27,43.68,7.01,sandy,10,rabi,wheat
122,137,104,28.29,56.62,41.41,4.69,sandy,4,zaid,maize
106,97,168,17.84,36.89,4.57,6.29,clay,7,kharif,cotton
29,128,159,36.67,72.86,247.86,6.31,clay,9,kharif,rice
14,104,137,16.24,54.01,268.83,5.86,clay,11,rabi,wheat
41,122,160,20.31,50.98,165.58,7.94,sandy,5,zaid,maize
134,36,23,28.54,49.24,58.25,6.17,loamy,4,zaid,maize
101,95,7,36.54,85.58,184.67,6.23,loamy,10,rabi,wheat
53,141,40,25.53,92.54,14.86,7.53,loamy,11,rabi,wheat
77,132,86,30.03,44.43,54.35,6.66,loamy,1,rabi,wheat
138,29,86,10.24,77.75,59.89,8.14,loamy,2,rabi,wheat
57,102,53,31.04,59.99,133.65,5.55,clay,1,rabi,maize
41,31,177,26.74,92.42,257.11,6.17,loamy,8,kharif,rice
94,33,151,10.74,39.74,34.1,4.89,clay,5,zaid,maize
98,68,109,18.84,59.36,170.06,7.11,loamy,10,rabi,wheat
15,50,168,33.49,90.51,192.77,6.41,clay,6,kharif,rice
92,81,82,25.77,39.65,170.26,7.28,loamy,10,rabi,wheat
125,143,70,22.91,47.41,154.59,7.03,loamy,5,zaid,maize
81,106,31,26.54,91.97,87.79,7.83,sandy,1,rabi,maize
12,25,108,39.95,72.51,37.34,5.3,sandy,12,rabi,wheat
12,124,82,28.14,39.79,126.54,7.23,clay,5,zaid,maize
51,25,196,25.99,32.77,225.88,6.38,loamy,11,rabi,wheat
89,142,167,33.22,62.18,217.36,5.07,loamy,12,rabi,rice
108,20,89,16.67,34.7,27.47,5.08,clay,9,kharif,rice
96,49,143,12.63,86.88,79.8,5.41,clay,11,rabi,wheat
65,50,148,36.6,60.81,278.03,7.74,sandy,3,zaid,maize
105,18,102,39.93,93.28,21.88,6.06,sandy,6,kharif,rice
81,38,49,10.86,57.21,267.35,7.24,clay,5,zaid,maize
101,28,54,35.08,77.89,149.72,8.41,sandy,7,kharif,maize
41,53,195,38.33,35.55,80.31,7.94,sandy,4,zaid,maize
53,26,78,32.23,71.33,297.21,4.91,sandy,8,kharif,rice
133,68,87,24.39,67.72,263.85,7.31,clay,2,rabi,wheat
50,19,74,21.93,67.1,147.59,4.83,sandy,8,kharif,maize
129,70,122,21.44,60.1,14.29,7.03,sandy,8,kharif,maize
24,34,41,38.21,76.49,203.65,6.05,clay,6,kharif,maize
126,139,22,22.56,71.59,13.15,6.53,sandy,5,zaid,maize
76,91,131,32.19,70.5,107.03,5.0,loamy,7,kharif,maize
130,97,87,16.85,78.86,85.46,7.75,sandy,11,rabi,wheat
136,26,29,30.57,77.6,85.16,7.07,loamy,7,kharif,maize
41,67,44,25.28,51.5,242.45,7.16,sandy,12,rabi,wheat
36,37,104,35.67,47.2,74.63,4.95,sandy,6,kharif,maize
15,70,49,10.95,54.27,33.64,5.55,loamy,11,rabi,wheat
73,46,133,21.66,75.79,45.35,7.99,loamy,7,kharif,maize
105,76,100,31.09,76.35,30.51,6.39,clay,6,kharif,rice
20,120,80,34.86,83.24,51.28,7.91,clay,5,zaid,cotton
137,39,29,15.25,45.46,258.66,5.85,sandy,5,zaid,maize
132,33,199,18.44,90.38,87.96,8.26,sandy,9,kharif,maize
118,141,120,13.73,37.22,278.55,7.56,clay,7,kharif,rice
121,39,103,28.7,48.76,185.97,5.18,clay,5,zaid,maize
40,73,12,15.46,63.97,206.37,6.14,sandy,3,zaid,maize
108,12,51,17.59,75.83,14.19,6.01,loamy,12,rabi,wheat
97,23,32,39.04,39.01,150.45,5.44,sandy,12,rabi,rice
97,138,147,17.06,45.75,277.41,5.68,clay,1,rabi,wheat
31,113,112,32.28,52.69,45.23,5.01,sandy,8,kharif,rice
24,40,43,15.27,60.58,282.11,6.49,clay,12,rabi,wheat
37,106,89,21.55,87.69,137.88,7.42,loamy,12,rabi,wheat
87,122,157,17.58,86.85,212.5,8.02,clay,6,kharif,rice
62,94,86,31.6,31.13,277.92,5.92,clay,5,zaid,maize
139,124,198,17.75,65.94,266.61,6.74,sandy,8,kharif,maize
87,44,151,17.07,49.6,107.12,8.3,loamy,8,kharif,maize
136,55,172,22.54,83.24,203.64,4.82,loamy,9,kharif,rice
62,97,125,20.87,51.92,134.47,5.43,clay,12,rabi,wheat
64,89,30,10.5,79.95,256.58,6.85,sandy,9,kharif,maize
47,138,143,34.49,67.71,124.97,4.93,sandy,10,rabi,maize
46,120,98,14.09,93.95,36.36,8.02,loamy,1,rabi,wheat
88,123,62,32.22,41.38,92.08,7.55,clay,6,kharif,cotton
104,104,190,30.19,62.43,35.32,5.96,sandy,12,rabi,maize
137,137,190,14.55,57.82,103.5,7.03,sandy,10,rabi,wheat
111,26,185,27.72,56.58,144.15,6.02,loamy,10,rabi,cotton
25,57,32,10.95,35.43,215.24,6.07,clay,10,rabi,wheat
46,69,36,26.44,66.98,244.44,6.23,sandy,12,rabi,maize
119,120,70,23.39,46.93,299.19,4.88,sandy,2,rabi,wheat
130,130,192,39.28,31.81,79.1,7.42,loamy,9,kharif,cotton
61,96,200,38.26,56.28,3.92,7.12,loamy,7,kharif,maize
42,92,32,28.17,45.42,223.21,8.26,sandy,12,rabi,wheat
85,64,176,34.72,57.64,170.64,6.46,sandy,4,zaid,maize
113,110,131,13.8,44.73,275.23,7.67,sandy,11,rabi,wheat
83,57,96,22.99,48.24,63.13,8.05,sandy,3,zaid,maize
78,27,64,19.35,58.09,225.54,8.16,clay,3,zaid,maize
27,30,177,36.26,69.53,248.64,8.24,sandy,10,rabi,maize
92,67,48,15.87,91.35,103.45,7.87,sandy,9,kharif,maize
100,15,20,31.9,74.7,115.48,6.62,clay,3,zaid,maize
49,135,75,39.37,79.11,173.01,4.99,loamy,2,rabi,wheat
78,40,160,28.01,62.98,61.0,7.9,loamy,3,zaid,maize
33,126,165,10.91,39.12,121.74,7.58,loamy,11,rabi,wheat
56,114,147,15.4,60.57,16.02,5.45,sandy,8,kharif,maize
53,112,172,24.14,54.16,73.65,5.98,sandy,6,kharif,maize
34,101,41,39.53,91.44,227.34,5.89,clay,11,rabi,rice
65,72,196,36.4,93.12,114.96,5.48,sandy,5,zaid,maize
52,46,42,26.92,32.44,10.89,5.3,loamy,11,rabi,wheat
23,97,22,30.91,55.17,268.8,7.8,clay,9,kharif,cotton
22,100,173,13.0,30.85,200.28,5.69,clay,10,rabi,wheat
118,98,40,23.73,72.59,275.39,5.33,clay,1,rabi,rice
90,15,144,34.67,70.52,103.57,5.27,clay,9,kharif,rice
81,90,123,26.25,57.48,162.31,5.18,clay,1,rabi,rice
42,71,177,35.7,92.35,190.56,6.72,sandy,11,rabi,rice
30,39,155,19.69,32.42,221.45,8.33,sandy,12,rabi,wheat
96,17,5,32.79,80.56,212.98,7.15,clay,2,rabi,rice
33,29,170,20.66,90.81,10.8,8.29,loamy,7,kharif,rice
107,64,127,20.5,77.86,67.93,4.75,sandy,5,zaid,maize
14,119,107,29.77,68.64,287.83,6.44,clay,2,rabi,maize
